Id,lenm,cols,rows,cole,rowe
382,93,688,6108,688,6108
383,30,706,6095,706,6095
384,206,723,6105,723,6105
385,44,726,6083,726,6083
386,32,710,6066,710,6066
387,81,951,6119,951,6119
388,80,948,6098,948,6098
389,231,938,6090,938,6091
390,127,907,6074,907,6074
391,292,882,6066,882,6066
392,354,838,6075,838,6075
393,63,874,5974,874,5974
394,90,856,5943,856,5943
395,220,861,5923,861,5923
396,104,856,5893,856,5893
397,371,875,5879,874,5879
398,217,873,5887,873,5887
399,206,875,5889,875,5889
400,216,888,5906,888,5906
401,48,898,5918,898,5918
402,63,898,5926,898,5926
403,55,894,5937,894,5937
404,38,913,5967,913,5967
405,66,997,6023,997,6023
406,105,1015,6004,1015,6004
407,93,1014,5992,1014,5992
408,193,1020,5968,1020,5968
409,56,1208,6265,1208,6265
410,137,1165,6203,1165,6203
411,309,1172,6158,1172,6158
412,276,1153,6144,1153,6144
413,196,1146,6141,1146,6141
414,41,1135,6136,1135,6136
415,115,1125,6147,1125,6147
416,85,1139,6156,1139,6156
417,19,1122,6175,1122,6175
418,36,4825,868,4825,868
419,643,3685,4710,3685,4707
420,884,3644,4689,3644,4686
